id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
395;302;Kallnach;3283;BE;7.2300489496678;47.0341868807404;de;false
396;303;Grossaffoltern;3257;BE;7.3664613792148;47.0685999644139;de;false
397;303;Ammerzwil BE;3257;BE;7.34260259433882;47.0731488951001;de;false
398;303;Suberg;3262;BE;7.33958172611367;47.0551943297501;de;false
399;304;Golaten;3207;BE;7.23698885719579;46.9867320711622;de;false
400;304;Treiten;3226;BE;7.17712799533398;47.0005348913513;de;false
402;304;Niederried b. Kallnach;3283;BE;7.22785218604688;46.9990736127316;de;false
404;305;Worben;3252;BE;7.29905471461633;47.0936673022604;de;false
406;306;Studen BE;2557;BE;7.31562010846738;47.1095880037284;de;false
408;306;Busswil BE;3292;BE;7.32194159810894;47.1006219632013;de;false
409;307;Ortschwaben;3042;BE;7.39941104182542;46.9921567388887;de;false
410;307;Meikirch;3045;BE;7.37228693783779;47.0092617909354;de;false
411;307;Wahlendorf;3046;BE;7.34027427222019;47.0094666447543;de;false
412;309;Detligen;3036;BE;7.26863653077963;46.990351976706;de;false
413;309;Radelfingen b. Aarberg;3271;BE;7.27164690981334;47.0186359735671;de;false
414;310;Lätti;3053;BE;7.43031631033915;47.0386109381494;de;false
415;310;Wengi b. Büren;3251;BE;7.41219448402383;47.0795797641969;de;false
416;310;Ruppoldsried;3251;BE;7.42522800904146;47.0895839185455;de;false
417;310;Messen;3254;BE;7.43539284835313;47.0957000202868;de;false
418;310;Rapperswil BE;3255;BE;7.41335003736229;47.066490039389;de;false
419;310;Dieterswil;3256;BE;7.43063487349183;47.0509760926176;de;false
420;310;Bangerten b. Dieterswil;3256;BE;7.44807310508665;47.0571944336942;de;false
421;310;Seewil;3256;BE;7.41052113990834;47.0463313359042;de;false
422;311;Münchenbuchsee;3053;BE;7.42645476471889;47.0317531190012;de;false
423;311;Schüpfen;3054;BE;7.37742319773528;47.0354735061378;de;false
424;312;Frieswil;3035;BE;7.28552952689859;46.9942521622438;de;false
425;312;Wiler b. Seedorf;3266;BE;7.31734881059505;47.0490861755851;de;false
427;312;Lobsigen;3268;BE;7.29875005754511;47.0167976059211;de;false
429;321;Aarwangen;4912;BE;7.76728561036159;47.2368598398904;de;false
430;321;Bützberg;4922;BE;7.73843248739563;47.2226140182904;de;false
431;322;Rohrbach;4938;BE;7.81137617805186;47.1419651551905;de;false
432;322;Auswil;4944;BE;7.83855940579907;47.1358594458562;de;false
434;323;Bannwil;4913;BE;7.72881969612052;47.2377571031447;de;false
435;324;Bleienbach;3368;BE;7.76036381472404;47.183028330363;de;false
436;325;Busswil b. Melchnau;4917;BE;7.83084563488967;47.1875652956577;de;false
437;326;Gondiswil;4955;BE;7.86681604349991;47.1464566882543;de;false
438;329;Langenthal;4900;BE;7.79511942189357;47.2175425057748;de;true
439;329;Untersteckholz;4916;BE;7.84395383278991;47.2058762355283;de;false
440;329;Obersteckholz;4924;BE;7.82558462795222;47.2010121279188;de;false
442;331;Lotzwil;4932;BE;7.79183395199263;47.188650251099;de;false
443;332;Reisiswil;4919;BE;7.83266606393467;47.1595555051264;de;false
444;332;Gutenburg;4932;BE;7.79916476939135;47.1818310309618;de;false
445;332;Madiswil;4934;BE;7.80171451526361;47.1622986811126;de;false
446;332;Leimiswil;4935;BE;7.77049375618948;47.1540283668138;de;false
447;332;Kleindietwil;4936;BE;7.79061340452403;47.1410964688004;de;false
448;333;Melchnau;4917;BE;7.855954366299;47.1775430631025;de;false
449;333;Grossdietwil;6146;BE;7.87615428680084;47.1663281279145;de;false
450;333;Altbüron;6147;BE;7.87710303300711;47.1791865333373;de;false
451;335;Oeschenbach;4943;BE;7.74482771105687;47.1102902900353;de;false
453;337;Roggwil BE;4914;BE;7.81606960767631;47.2346296328424;de;false
455;339;Rohrbachgraben;4938;BE;7.80515195450873;47.1103260952675;de;false
456;340;Rütschelen;4933;BE;7.77134065775839;47.1724603008212;de;false
457;341;Schwarzhäusern;4911;BE;7.76587944914726;47.2574015690725;de;false
459;342;Thunstetten;4922;BE;7.74785361919307;47.1979105970311;de;false
